[2023-01-29T11:12:51.808] [ERROR] prod - Datos invalidos
[2023-02-16T15:17:47.893] [ERROR] prod - Conexion fallida
[2023-02-17T10:10:40.515] [ERROR] prod - Conexion fallida
[2023-02-17T10:16:26.209] [ERROR] prod - Conexion fallida
[2023-02-17T10:18:17.939] [ERROR] prod - Conexion fallida
[2023-02-17T10:26:13.445] [ERROR] prod - Conexion fallida
[2023-02-17T10:28:17.318] [ERROR] prod - Conexion fallida
[2023-02-17T10:29:40.662] [ERROR] prod - Conexion fallida
[2023-02-17T10:30:01.925] [ERROR] prod - Conexion fallida
[2023-02-17T10:30:16.225] [ERROR] prod - Conexion fallida
[2023-02-17T10:31:35.531] [ERROR] prod - Conexion fallida
